Age,Gender,Education Level,Job Title,Years of Experience,Salary
27.0,Male,Bachelor's Degree,Technical Writer,2.0,41257
35.0,Female,Bachelor's Degree,Senior HR Specialist,7.0,52493
42.0,Male,Master's Degree,Principal Software Engineer,14.0,90917
26.0,Female,Bachelor's Degree,Customer Success Rep,1.0,34232
49.0,Male,Bachelor's Degree,VP of Sales,21.0,71503
34.0,Female,Master's Degree,UX Designer,6.0,61013
48.0,Male,Master's Degree,Senior Director,18.0,761513
30.0,Male,Bachelor's Degree,Software Engineer,3.0,38964
36.0,Female,Bachelor's Degree,Administrative Assistant,8.0,21572
41.0,Male,Master's Degree,Strategy Consultant,13.0,81213
28.0,Female,Bachelor's Degree,Copywriter,2.0,32365
32.0,Male,Bachelor's Degree,Account Executive,5.0,44821
45.0,Female,Master's Degree,Senior Director,20.0,85471
38.0,Male,PhD,Principal Data Scientist,11.0,246273
25.0,Male,Bachelor's Degree,Junior Data Analyst,0.0,29601
51.0,Female,Bachelor's Degree,Director,22.0,68269
33.0,Male,Master's Degree,Senior Data Analyst,7.0,57497
40.0,Female,Bachelor's Degree,Event Coordinator,12.0,43841
47.0,Male,Master's Degree,Finance Director,19.0,966775
29.0,Female,Bachelor's Degree,Graphic Designer,3.0,28946
36.0,Male,Bachelor's Degree,Sales Manager,8.0,113014
27.0,Female,Master's Degree,Research Analyst,2.0,47536
43.0,Male,PhD,Principal Software Engineer,17.0,271992
30.0,Female,Bachelor's Degree,Manager,4.0,30587
35.0,Male,Master's Degree,Director,18.0,307376
51.0,Female,Master's Degree,Senior Director,22.0,98936
29.0,Male,Bachelor's Degree,Data Analyst,3.0,42469
40.0,Female,Bachelor's Degree,Senior Manager,7.5,71523
47.0,Male,PhD,Principal Data Scientist,18.0,471249
26.0,Male,Bachelor's Degree,Junior Accountant,1.0,16907
38.0,Female,Master's Degree,Senior Manager,10.0,67646
46.0,Male,Bachelor's Degree,Director,19.0,74284
31.0,Female,Bachelor's Degree,Customer Service Representative,5.0,21085
34.0,Male,Master's Degree,Sales Manager,8.0,78841
49.0,Female,Master's Degree,Principal Data Analyst,18.0,100978
33.0,Male,Bachelor's Degree,Senior Software Engineer,6.0,49111
39.0,Female,Bachelor's Degree,HR Manager,11.0,40404
45.0,Male,PhD,Senior Research Scientist,16.0,99587
28.0,Male,Bachelor's Degree,Technical Support Specialist,2.0,42989
42.0,Female,Master's Degree,Director,14.0,74944
37.0,Male,Bachelor's Degree,Senior Manager,12.0,168951
50.0,Female,Bachelor's Degree,Senior Manager,12.0,143986
32.0,Male,Master's Degree,Lead Software Engineer,12.0,226957
48.0,Female,Master's Degree,Senior Director,20.0,531742
30.0,Female,Bachelor's Degree,Manager,3.0,45962
36.0,Male,Bachelor's Degree,Technical Recruiter,8.0,55714
41.0,Female,Master's Degree,Data Analyst,4.0,62335
25.0,Male,Bachelor's Degree,Sales Associate,0.0,25638
52.0,Male,PhD,Chief Technology Officer,24.0,1701221
29.0,Female,Bachelor's Degree,Junior Designer,2.0,38792
34.0,Female,Master's Degree,Finance Manager,10.0,73673
27.0,Male,Bachelor's Degree,Junior Account Manager,2.0,43252
40.0,Female,Bachelor's Degree,HR Director,15.0,74658
46.0,Male,Master's Degree,Senior Project Manager,18.0,87836
31.0,Female,Bachelor's Degree,Marketing Specialist,3.0,20679
36.0,Male,PhD,Principal Data Scientist,11.0,86330
29.0,Female,Bachelor's Degree,Sales Representative,2.5,21699
43.0,Male,Bachelor's Degree,Director,18.0,67241
52.0,Female,Master's Degree,Senior Marketing Manager,25.0,100400
33.0,Male,Bachelor's Degree,Senior Data Analyst,7.0,73458
39.0,Female,Bachelor's Degree,Training Specialist,12.0,69723
47.0,Male,PhD,Principal Data Scientist,22.0,315421
26.0,Male,Bachelor's Degree,Junior Software Engineer,1.0,29306
38.0,Female,Master's Degree,Senior Manager,10.0,76033
45.0,Male,Bachelor's Degree,Principal Data Analyst,20.0,79054
31.0,Female,Bachelor's Degree,Event Coordinator,5.0,32994
35.0,Male,Master's Degree,Senior Manager,8.0,70889
49.0,Female,Master's Degree,Senior HR Manager,19.0,86560
33.0,Male,Bachelor's Degree,Software Engineer,5.0,50816
39.0,Female,Master's Degree,Senior Project Coordinator,13.0,76506
44.0,Male,PhD,Chief Data Officer,16.0,1655863
30.0,Female,Bachelor's Degree,Digital Content Producer,3.0,36976
36.0,Male,Bachelor's Degree,IT Support Specialist,7.0,49079
41.0,Female,Master's Degree,Principal Data Analyst,14.0,87444
28.0,Male,Bachelor's Degree,Team Lead,2.0,38993
42.0,Female,Master's Degree,Senior Graphic Designer,15.0,84796
37.0,Male,Bachelor's Degree,Senior Manager,9.0,54243
50.0,Female,Bachelor's Degree,Principal Data Analyst,22.0,77552
32.0,Male,Master's Degree,Senior Data Analyst,6.0,57214
23.0,Female,Bachelor's Degree,Junior Data Analyst,0.5,21868
31.0,Male,Master's Degree,Senior Data Analyst,6.0,67120
40.0,Female,Bachelor's Degree,Director,15.0,68042
48.0,Male,PhD,Principal Software Engineer,20.0,104170
29.0,Female,Bachelor's Degree,HR Specialist,3.0,37817
35.0,Male,Master's Degree,Senior Product Manager,25.0,88513
42.0,Female,Bachelor's Degree,Sales Manager,8.0,115346
53.0,Male,Master's Degree,Senior Director,20.0,96364
33.0,Female,Bachelor's Degree,Data Analyst,5.0,47266
38.0,Male,Bachelor's Degree,Senior Manager,11.0,54829
44.0,Female,PhD,Principal Data Scientist,16.0,385311
26.0,Male,Bachelor's Degree,Junior Accountant,2.0,18671
37.0,Female,Master's Degree,HR Manager,9.0,72473
45.0,Male,Bachelor's Degree,Sales Director,18.0,77365
32.0,Female,Bachelor's Degree,Marketing Specialist,3.0,20482
34.0,Male,Master's Degree,Senior Software Engineer,8.0,75441
50.0,Female,Master's Degree,Senior Director,22.0,88340
29.0,Male,Bachelor's Degree,Junior Web Designer,3.0,41068
40.0,Female,Master's Degree,Senior Training Specialist,12.0,89194
47.0,Male,PhD,Principal Data Scientist,22.0,109412
27.0,Male,Bachelor's Degree,Sales Associate,1.0,32409
39.0,Female,Bachelor's Degree,Administrative Assistant,10.0,20326
46.0,Male,Master's Degree,Senior Project Manager,18.0,94426
30.0,Female,Bachelor's Degree,Manager,4.0,38800
36.0,Male,Bachelor's Degree,Senior Data Analyst,7.0,52158
43.0,Female,Master's Degree,Senior Product Marketing Manager,14.0,76092
28.0,Male,Bachelor's Degree,Junior Data Analyst,2.0,38671
41.0,Female,Master's Degree,Senior Marketing Manager,13.0,88141
33.0,Male,Bachelor's Degree,Software Engineer,5.0,39091
47.0,Male,Bachelor's Degree,Sales Director,20.0,73985
25.0,Female,Master's Degree,Marketing Associate,1.5,51332
34.0,Male,Bachelor's Degree,Senior Data Analyst,8.0,54911
42.0,Female,PhD,Principal Data Scientist,18.0,492525
31.0,Male,Bachelor's Degree,Manager,4.0,39774
38.0,Female,Bachelor's Degree,Sales Manager,10.0,59641
45.0,Male,Master's Degree,Sales Director,19.0,608588
29.0,Female,Bachelor's Degree,HR Specialist,3.0,37221
36.0,Male,Master's Degree,Sales Manager,11.0,67008
43.0,Female,PhD,Marketing Director,18.0,97576
26.0,Male,Bachelor's Degree,Junior Customer Support Specialist,2.0,42782
37.0,Female,Master's Degree,Principal Data Analyst,9.0,70141
44.0,Male,Bachelor's Degree,Senior IT Support Specialist,14.0,63416
32.0,Female,Bachelor's Degree,Data Analyst,5.0,46243
33.0,Male,Master's Degree,Senior Operations Manager,7.0,66801
51.0,Female,PhD,Senior Director,23.0,634064
28.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,39576
39.0,Female,Bachelor's Degree,Sales Manager,12.0,57697
48.0,Male,Master's Degree,Senior Director,21.0,89127
30.0,Female,Bachelor's Degree,Junior Copywriter,3.0,38430
35.0,Male,Bachelor's Degree,Senior Marketing Specialist,7.0,48678
41.0,Female,Master's Degree,Senior Human Resources Manager,13.0,77811
27.0,Male,Bachelor's Degree,Junior Business Development Associate,1.5,33506
40.0,Female,Bachelor's Degree,Sales Director,14.0,68299
46.0,Male,PhD,Senior Research Scientist,18.0,103169
31.0,Female,Bachelor's Degree,HR Specialist,4.0,39852
34.0,Male,Master's Degree,Lead Software Engineer,12.0,256196
50.0,Female,Master's Degree,Senior Director,20.0,88388
29.0,Male,Bachelor's Degree,Marketing Associate,2.0,40255
43.0,Male,Bachelor's Degree,Senior Project Manager,18.0,76070
26.0,Female,Master's Degree,Junior Data Scientist,1.5,49022
35.0,Male,Bachelor's Degree,Senior Data Analyst,7.0,49236
42.0,Female,PhD,Senior Marketing Manager,18.0,99892
31.0,Male,Bachelor's Degree,Junior Accountant,4.0,21127
38.0,Female,Bachelor's Degree,HR Manager,10.0,59716
46.0,Male,Master's Degree,Senior Director,22.0,97302
29.0,Female,Bachelor's Degree,Sales Associate,2.0,36831
37.0,Male,Master's Degree,Principal Data Analyst,9.0,73259
44.0,Female,PhD,Senior UX Designer,12.0,94247
27.0,Male,Bachelor's Degree,Team Lead,2.0,39955
36.0,Female,Bachelor's Degree,Senior Marketing Specialist,8.0,54468
43.0,Male,Bachelor's Degree,Senior IT Project Manager,14.0,57786
33.0,Female,Master's Degree,Senior Data Analyst,6.0,56801
34.0,Male,Bachelor's Degree,Principal Data Analyst,9.0,56516
50.0,Female,PhD,Chief Sales Officer,22.0,699572
28.0,Male,Bachelor's Degree,Junior Data Analyst,1.5,39394
39.0,Female,Bachelor's Degree,Sales Manager,12.0,67622
47.0,Male,Master's Degree,Sales Director,19.0,94616
30.0,Female,Bachelor's Degree,Manager,3.0,43044
34.0,Male,Bachelor's Degree,Senior Product Manager,25.0,69680
40.0,Female,Master's Degree,HR Director,13.0,75613
28.0,Male,Bachelor's Degree,Junior Data Analyst,2.0,43218
41.0,Female,Bachelor's Degree,Marketing Manager,11.0,59246
45.0,Male,PhD,Senior Data Analyst,8.0,86985
32.0,Female,Bachelor's Degree,Account Executive,5.0,44815
35.0,Male,Master's Degree,Lead Software Engineer,9.0,73085
49.0,Female,Master's Degree,Senior Director,21.0,543070
30.0,Male,Bachelor's Degree,Junior Advertising Coordinator,3.0,37102
44.0,Male,Bachelor's Degree,Sales Director,16.0,73570
27.0,Female,Master's Degree,Junior UX Designer,1.5,43592
36.0,Male,Bachelor's Degree,Account Executive,7.0,49023
41.0,Female,PhD,Senior Marketing Director,17.0,99391
31.0,Male,Bachelor's Degree,HR Specialist,4.0,37645
39.0,Female,Bachelor's Degree,Senior Operations Manager,10.0,52933
47.0,Male,Master's Degree,Senior Director,20.0,95051
30.0,Female,Bachelor's Degree,Marketing Associate,2.0,38045
38.0,Male,Master's Degree,Senior IT Consultant,9.0,74363
45.0,Female,PhD,Marketing Director,15.0,102634
28.0,Male,Bachelor's Degree,Junior Business Development Associate,2.0,38599
35.0,Female,Bachelor's Degree,Senior Data Analyst,8.0,54790
44.0,Male,Bachelor's Degree,Lead Software Engineer,12.0,199566
34.0,Female,Master's Degree,Senior Accountant,6.0,63931
35.0,Male,Bachelor's Degree,Senior Project Coordinator,9.0,59084
50.0,Female,PhD,Senior Director,22.0,99234
29.0,Male,Bachelor's Degree,Junior Data Analyst,1.5,33261
40.0,Female,Bachelor's Degree,Sales Manager,12.0,61038
48.0,Male,Master's Degree,Senior Director,20.0,90904
31.0,Female,Bachelor's Degree,Junior Social Media Specialist,3.0,40041
33.0,Male,Bachelor's Degree,Senior Product Development Manager,7.0,47610
42.0,Female,Master's Degree,Senior Human Resources Manager,13.0,91285
28.0,Male,Bachelor's Degree,Junior Data Analyst,2.0,43359
40.0,Female,Bachelor's Degree,Senior Marketing Manager,11.0,50655
46.0,Male,PhD,Principal Data Scientist,18.0,450505
33.0,Female,Bachelor's Degree,Manager,5.0,48886
37.0,Male,Master's Degree,Lead Software Engineer,9.0,76476
51.0,Female,Master's Degree,Senior Director,21.0,543566
30.0,Male,Bachelor's Degree,Marketing Specialist,3.0,38845
43.0,Male,Bachelor's Degree,Senior Project Manager,18.0,71825
27.0,Female,Master's Degree,Junior Data Scientist,1.5,48270
35.0,Male,Bachelor's Degree,Senior Data Analyst,8.0,57594
42.0,Female,PhD,Senior Marketing Manager,13.0,96047
32.0,Male,Bachelor's Degree,Sales Representative,3.0,41757
37.0,Female,Bachelor's Degree,Principal Data Analyst,9.0,53264
45.0,Male,Master's Degree,Principal Software Engineer,16.0,99372
33.0,Female,Bachelor's Degree,Data Analyst,5.0,45217
39.0,Male,Bachelor's Degree,Marketing Manager,10.0,51559
44.0,Female,PhD,Senior HR Manager,18.0,107336
29.0,Male,Bachelor's Degree,Junior Data Analyst,1.5,39490
38.0,Female,Bachelor's Degree,Senior Product Manager,25.0,76706
46.0,Male,PhD,Senior Data Analyst,8.0,88106
34.0,Female,Bachelor's Degree,Senior Data Analyst,6.0,33139
36.0,Male,Bachelor's Degree,Senior Operations Manager,8.0,56947
49.0,Female,Master's Degree,Senior Director,20.0,84321
31.0,Male,Bachelor's Degree,Data Analyst,3.0,43018
41.0,Female,Bachelor's Degree,Senior Project Coordinator,11.0,58187
47.0,Male,Master's Degree,Senior Director,22.0,93532
30.0,Female,Bachelor's Degree,Marketing Associate,2.0,38972
38.0,Male,Master's Degree,Senior IT Consultant,9.0,76755
45.0,Female,PhD,Marketing Director,15.0,107687
28.0,Male,Bachelor's Degree,Junior Business Development Associate,2.0,38436
35.0,Female,Bachelor's Degree,Senior Data Analyst,8.0,58711
44.0,Male,Bachelor's Degree,Lead Software Engineer,12.0,195143
34.0,Female,Master's Degree,Senior Accountant,6.0,61598
35.0,Male,Bachelor's Degree,Senior Project Coordinator,9.0,50819
50.0,Female,PhD,Senior Director,22.0,112053
29.0,Male,Bachelor's Degree,Junior Data Analyst,1.5,34295
37.0,Female,Bachelor's Degree,Senior Financial Manager,10.0,57731
46.0,Male,PhD,Principal Data Scientist,18.0,429540
31.0,Female,Bachelor's Degree,Marketing Specialist,3.0,40806
42.0,Male,Bachelor's Degree,Senior Operations Manager,12.0,67855
29.0,Female,Bachelor's Degree,Sales Associate,1.5,36662
36.0,Male,Bachelor's Degree,Senior Marketing Specialist,8.0,53486
44.0,Female,Master's Degree,HR Director,15.0,102111
33.0,Male,Bachelor's Degree,Manager,4.0,40636
39.0,Female,Bachelor's Degree,Marketing Manager,9.0,56940
45.0,Male,PhD,Principal Software Engineer,16.0,109783
32.0,Female,Bachelor's Degree,Manager,4.0,39793
37.0,Male,Bachelor's Degree,Senior Data Analyst,8.0,51524
47.0,Female,Master's Degree,Senior Director,20.0,96242
30.0,Male,Bachelor's Degree,Junior Data Analyst,2.0,37027
38.0,Female,Bachelor's Degree,Senior Project Manager,18.0,74632
46.0,Male,PhD,Senior Data Analyst,8.0,78621
34.0,Female,Bachelor's Degree,Data Analyst,5.0,51641
36.0,Male,Bachelor's Degree,Senior Product Manager,25.0,65430
49.0,Female,Master's Degree,Senior Director,22.0,101874
31.0,Male,Bachelor's Degree,Data Analyst,3.0,39877
41.0,Female,Bachelor's Degree,Senior Project Coordinator,11.0,60701
47.0,Male,Master's Degree,Senior Director,20.0,97380
29.0,Female,Bachelor's Degree,Junior Business Development Associate,1.5,34274
35.0,Male,Bachelor's Degree,Senior Financial Manager,9.0,54334
44.0,Female,PhD,Marketing Director,15.0,117841
33.0,Male,Bachelor's Degree,Data Analyst,4.0,40267
35.0,Female,Bachelor's Degree,Senior Data Analyst,8.0,52685
44.0,Male,Bachelor's Degree,Lead Software Engineer,12.0,197890
32.0,Male,Bachelor's Degree,Manager,4.0,36913
38.0,Female,Bachelor's Degree,Principal Data Analyst,10.0,53316
49.0,Male,PhD,Senior Director,22.0,107074
29.0,Female,Bachelor's Degree,Marketing Associate,2.0,36299
35.0,Male,Bachelor's Degree,Business Development Manager,7.0,52313
45.0,Female,Master's Degree,Senior HR Manager,14.0,82668
33.0,Male,Bachelor's Degree,Data Analyst,4.0,37507
40.0,Female,Bachelor's Degree,Senior Marketing Manager,12.0,64756
44.0,Male,PhD,Principal Data Scientist,18.0,484570
30.0,Female,Bachelor's Degree,Operations Associate,2.0,42485
37.0,Male,Bachelor's Degree,Principal Data Analyst,9.0,54720
48.0,Female,Master's Degree,Senior Director,20.0,102342
31.0,Male,Bachelor's Degree,Manager,3.0,37421
38.0,Female,Bachelor's Degree,Operations Manager,9.0,54612
45.0,Male,PhD,Principal Software Engineer,16.0,102631
33.0,Female,Bachelor's Degree,Manager,5.0,52772
36.0,Male,Bachelor's Degree,Senior Data Analyst,8.0,52387
49.0,Female,Master's Degree,Senior Director,20.0,86419
31.0,Male,Bachelor's Degree,Data Analyst,3.0,43946
42.0,Female,Bachelor's Degree,Senior Project Manager,18.0,76072
47.0,Male,Master's Degree,Senior Director,20.0,102013
29.0,Female,Bachelor's Degree,Junior Business Development Associate,1.5,36673
35.0,Male,Bachelor's Degree,Senior Financial Manager,9.0,55954
44.0,Female,PhD,Marketing Director,15.0,114812
33.0,Male,Bachelor's Degree,Data Analyst,4.0,38842
35.0,Female,Bachelor's Degree,Senior Data Analyst,8.0,57385
44.0,Male,Bachelor's Degree,Lead Software Engineer,12.0,182067
34.0,Female,Master's Degree,Senior Accountant,6.0,67988
36.0,Male,Bachelor's Degree,Senior Marketing Specialist,8.0,58559
30.0,Female,Bachelor's Degree,HR Associate,2.0,42970
37.0,Male,Bachelor's Degree,Sales Manager,10.0,51302
45.0,Female,Master's Degree,Senior Marketing Manager,16.0,92993
32.0,Male,Bachelor's Degree,Accountant,4.0,43929
39.0,Female,Bachelor's Degree,Senior Project Manager,18.0,77876
47.0,Male,PhD,Principal Software Engineer,20.0,887361
29.0,Female,Bachelor's Degree,Junior Data Analyst,2.0,25807
36.0,Male,Bachelor's Degree,Senior Operations Manager,9.0,51644
43.0,Female,PhD,Principal Data Scientist,18.0,412769
32.0,Male,Bachelor's Degree,Marketing Specialist,3.0,39210
38.0,Female,Bachelor's Degree,Principal Data Analyst,10.0,56463
48.0,Male,Master's Degree,Senior Director,20.0,98488
31.0,Female,Bachelor's Degree,Junior Business Development Associate,3.0,36586
40.0,Male,Bachelor's Degree,Principal Data Analyst,12.0,67778
45.0,Female,PhD,Senior UX Designer,12.0,89429
33.0,Male,Bachelor's Degree,Manager,4.0,36936
36.0,Female,Bachelor's Degree,Senior Marketing Manager,8.0,56045
47.0,Male,Master's Degree,Senior Director,22.0,88684
29.0,Female,Bachelor's Degree,Team Lead,2.0,42271
34.0,Male,Bachelor's Degree,Senior Operations Specialist,7.0,43270
44.0,Female,PhD,Principal Data Analyst,15.0,106616
33.0,Male,Bachelor's Degree,Marketing Specialist,5.0,44283
35.0,Female,Bachelor's Degree,Senior Financial Manager,8.0,58358
43.0,Male,Master's Degree,Senior Director,20.0,85383
31.0,Female,Bachelor's Degree,Data Analyst,3.0,41638
41.0,Male,Bachelor's Degree,Senior Product Manager,25.0,65010
44.0,Female,PhD,Principal Software Engineer,16.0,118393
33.0,Male,Bachelor's Degree,Data Analyst,4.0,42078
35.0,Female,Bachelor's Degree,Senior Data Analyst,8.0,60092
45.0,Male,Master's Degree,Principal Software Engineer,19.0,766827
28.0,Female,Bachelor's Degree,Team Lead,1.0,32464
36.0,Male,Bachelor's Degree,Sales Manager,8.0,59614
44.0,Female,PhD,Principal Data Scientist,18.0,486140
31.0,Male,Bachelor's Degree,Marketing Specialist,3.0,37485
38.0,Female,Bachelor's Degree,Principal Data Analyst,10.0,56536
48.0,Male,Master's Degree,Senior Director,20.0,97780
31.0,Female,Bachelor's Degree,Junior Business Development Associate,3.0,43094
40.0,Male,Bachelor's Degree,Principal Data Analyst,12.0,67307
45.0,Female,PhD,Senior UX Designer,12.0,102785
33.0,Male,Bachelor's Degree,Manager,4.0,43004
36.0,Female,Bachelor's Degree,Senior Marketing Manager,8.0,53612
47.0,Male,Master's Degree,Senior Director,22.0,95068
29.0,Female,Bachelor's Degree,Team Lead,2.0,39075
34.0,Male,Bachelor's Degree,Senior Operations Specialist,7.0,51160
44.0,Female,PhD,Principal Data Analyst,15.0,110952
33.0,Male,Bachelor's Degree,Marketing Specialist,5.0,48647
35.0,Female,Bachelor's Degree,Senior Financial Manager,8.0,58826
43.0,Male,Master's Degree,Senior Director,20.0,99433
31.0,Female,Bachelor's Degree,Data Analyst,3.0,39976
41.0,Male,Bachelor's Degree,Senior Product Manager,25.0,72193
44.0,Female,PhD,Principal Software Engineer,16.0,102332
33.0,Male,Bachelor's Degree,Data Analyst,4.0,40889
35.0,Female,Bachelor's Degree,Senior Data Analyst,8.0,59518
43.0,Male,Master's Degree,Senior Director,22.0,91081
29.0,Female,Bachelor's Degree,Team Lead,2.0,42161
34.0,Male,Bachelor's Degree,Senior Operations Specialist,7.0,46686
44.0,Female,PhD,Principal Data Analyst,15.0,102604
31.0,Male,Master's Degree,Senior Data Scientist,10.0,198922
28.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,93672
26.0,Male,Master's Degree,Director,18.0,281527
27.0,Female,Bachelor's Degree,Data Analyst,4.0,50396
30.0,Male,PhD,Senior Data Scientist,10.0,215226
29.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,94395
32.0,Male,Bachelor's Degree,Director,18.0,220977
25.0,Female,Master's Degree,Data Analyst,4.0,60495
33.0,Male,PhD,Senior Data Scientist,10.0,224959
31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,88639
28.0,Male,Master's Degree,Director,18.0,315593
30.0,Female,Bachelor's Degree,Data Analyst,4.0,45249
27.0,Male,PhD,Senior Data Scientist,10.0,213078
29.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,94254
34.0,Male,Bachelor's Degree,Director,18.0,243881
25.0,Female,Master's Degree,Data Analyst,4.0,61547
33.0,Male,PhD,Senior Data Scientist,10.0,208337
31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,94650
28.0,Male,Master's Degree,Director,18.0,277409
30.0,Female,Bachelor's Degree,Data Analyst,4.0,46037
28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,80998
26.0,Female,Master's Degree,Director,18.0,326592
27.0,Male,Bachelor's Degree,Data Analyst,4.0,49349
30.0,Female,PhD,Senior Data Scientist,10.0,211928
29.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,78026
32.0,Male,Bachelor's Degree,Director,18.0,218626
25.0,Female,Master's Degree,Data Analyst,4.0,63185
33.0,Male,PhD,Senior Data Scientist,10.0,208679
31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,87595
28.0,Male,Master's Degree,Director,18.0,305009
30.0,Female,Bachelor's Degree,Data Analyst,4.0,53264
27.0,Male,PhD,Senior Data Scientist,10.0,198089
29.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,85712
34.0,Male,Bachelor's Degree,Director,18.0,227834
25.0,Female,Master's Degree,Data Analyst,4.0,61515
33.0,Male,PhD,Senior Data Scientist,10.0,197658
31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,86107
28.0,Male,Master's Degree,Director,18.0,281578
30.0,Female,Bachelor's Degree,Data Analyst,4.0,51140
28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,87586
26.0,Female,Master's Degree,Director,18.0,301577
27.0,Male,Bachelor's Degree,Data Analyst,4.0,46228
30.0,Female,PhD,Senior Data Scientist,10.0,205863
29.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,78903
32.0,Male,Bachelor's Degree,Director,18.0,221830
25.0,Female,Master's Degree,Data Analyst,4.0,57933
33.0,Male,PhD,Senior Data Scientist,10.0,234552
31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,90246
28.0,Male,Master's Degree,Director,18.0,329507
30.0,Female,Bachelor's Degree,Data Analyst,4.0,44942
27.0,Male,PhD,Senior Data Scientist,10.0,234997
29.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,92503
34.0,Male,Bachelor's Degree,Director,18.0,227861
25.0,Female,Master's Degree,Data Analyst,4.0,70749
33.0,Male,PhD,Senior Data Scientist,10.0,203966
31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,84532
28.0,Male,Master's Degree,Director,18.0,312029
30.0,Female,Bachelor's Degree,Data Analyst,4.0,49822
28.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,94712
26.0,Female,Master's Degree,Director,18.0,286726
27.0,Male,Bachelor's Degree,Data Analyst,4.0,52488
30.0,Female,PhD,Senior Data Scientist,10.0,213635
29.0,Male,Bachelor's Degree,Senior Software Engineer,7.0,84739
32.0,Male,Bachelor's Degree,Director,18.0,243781
25.0,Female,Master's Degree,Data Analyst,4.0,70752
33.0,Male,PhD,Senior Data Scientist,10.0,218838
31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,82515
28.0,Male,Master's Degree,Director,18.0,314392
30.0,Female,Bachelor's Degree,Data Analyst,4.0,48639
27.0,Male,PhD,Senior Data Scientist,10.0,239818
29.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,83449
34.0,Male,Bachelor's Degree,Director,18.0,215248
25.0,Female,Master's Degree,Data Analyst,4.0,57935
33.0,Male,PhD,Senior Data Scientist,10.0,228030
31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,78451
28.0,Male,Master's Degree,Director,18.0,279280
30.0,Female,Bachelor's Degree,Data Analyst,4.0,51559
27.0,Male,PhD,Senior Data Scientist,10.0,217767
29.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,93237
34.0,Male,Bachelor's Degree,Director,18.0,230424
25.0,Female,Master's Degree,Data Analyst,4.0,60315
33.0,Male,PhD,Senior Data Scientist,10.0,225626
31.0,Female,Bachelor's Degree,Senior Software Engineer,7.0,81499
28.0,Male,Master's Degree,Director,18.0,294503
30.0,Female,Bachelor's Degree,Data Analyst,4.0,53912
